LINKNO,subw_4,subw_5,subw_6,subw_7,Subw_8
462,318,69,19,5,1
14,318,69,19,5,1
17935,318,69,19,5,1
17711,318,69,19,5,1
17487,318,69,19,5,1
17263,318,69,19,5,1
17039,318,69,19,5,1
16815,318,69,19,5,1
16591,318,69,19,5,1
16367,318,69,19,5,1
16143,318,69,19,5,1
14351,318,69,19,5,1
15919,318,69,19,5,1
238,318,69,19,5,1
15695,318,69,19,5,1
15471,318,69,19,5,1
15023,318,69,19,5,1
14799,318,69,19,5,1
14575,318,69,19,5,1
20176,318,69,19,5,1
8751,318,69,19,5,1
9199,318,69,19,5,1
14127,318,69,19,5,1
13903,318,69,19,5,1
13679,318,69,19,5,1
688,318,69,19,5,1
1134,318,69,19,5,1
686,318,69,19,5,1
910,318,69,19,5,1
13455,318,69,19,5,1
13231,318,69,19,5,1
13007,318,69,19,5,1
12783,318,69,19,5,1
12559,318,69,19,5,1
12111,318,69,19,5,1
11887,318,69,19,5,1
11663,318,69,19,5,1
11439,318,69,19,5,1
11215,318,69,19,5,1
10991,318,69,19,5,1
10767,318,69,19,5,1
10543,318,69,19,5,1
10319,318,69,19,5,1
10095,318,69,19,5,1
9871,318,69,19,5,1
9423,318,69,19,5,1
8975,318,69,19,5,1
8527,318,69,19,5,1
8303,318,69,19,5,1
8079,318,69,19,5,1
7855,318,69,19,5,1
7631,318,69,19,5,1
7407,318,69,19,5,1
7183,318,69,19,5,1
6959,318,69,19,5,1
6735,318,69,19,5,1
6511,318,69,19,5,1
6287,318,69,19,5,1
6063,318,69,19,5,1
5839,318,69,19,5,1
5615,318,69,19,5,1
5391,318,69,19,5,1
5167,318,69,19,5,1
4943,318,69,19,5,1
4719,318,69,19,5,1
4495,318,69,19,5,1
4271,318,69,19,5,1
4047,318,69,19,5,1
3823,318,69,19,5,1
3599,318,69,19,5,1
3375,318,69,19,5,1
3151,318,69,19,5,1
2927,318,69,19,5,1
2703,318,69,19,5,1
2479,318,69,19,5,1
2255,318,69,19,5,1
2031,318,69,19,5,1
1807,318,69,19,5,1
1583,318,69,19,5,1
1359,318,69,19,5,1
1135,318,69,19,5,1
911,318,69,19,5,1
687,318,69,19,5,1
463,318,69,19,5,1
239,318,69,19,5,1
15,318,69,19,5,1
23536,318,69,19,5,1
23312,318,69,19,5,1
23088,318,69,19,5,1
22864,318,69,19,5,1
18159,318,69,19,5,1
22416,318,69,19,5,1
22192,318,69,19,5,1
21968,318,69,19,5,1
21744,318,69,19,5,1
21520,318,69,19,5,1
21296,318,69,19,5,1
21072,318,69,19,5,1
20848,318,69,19,5,1
20624,318,69,19,5,1
15247,318,69,19,5,1
20400,318,69,19,5,1
240,318,69,19,5,1
19952,318,69,19,5,1
2033,318,69,19,5,1
12335,318,69,19,5,1
9647,318,69,19,5,1
19504,318,69,19,5,1
19056,318,69,19,5,1
18832,318,69,19,5,1
18608,318,69,19,5,1
18384,543,69,19,5,1
18160,318,69,19,5,1
17936,318,69,19,5,1
17712,543,69,19,5,1
17488,318,69,19,5,1
17264,318,69,19,5,1
17040,318,69,19,5,1
16816,318,69,19,5,1
16592,318,69,19,5,1
16368,318,69,19,5,1
15920,550,69,19,5,1
15696,318,69,19,5,1
15472,318,69,19,5,1
15248,318,69,19,5,1
15024,318,69,19,5,1
14800,318,69,19,5,1
14576,318,69,19,5,1
14352,318,69,19,5,1
14128,543,69,19,5,1
13904,318,69,19,5,1
12336,318,69,19,5,1
12112,318,69,19,5,1
11888,318,69,19,5,1
10992,550,69,19,5,1
10768,318,69,19,5,1
10320,550,69,19,5,1
9424,318,69,19,5,1
9200,318,69,19,5,1
8976,318,69,19,5,1
8528,318,69,19,5,1
8304,318,69,19,5,1
7856,318,69,19,5,1
7632,550,69,19,5,1
7408,318,69,19,5,1
7184,318,69,19,5,1
6960,318,69,19,5,1
6736,318,69,19,5,1
6512,318,69,19,5,1
6288,318,69,19,5,1
6064,543,69,19,5,1
5840,318,69,19,5,1
5616,543,69,19,5,1
5392,543,69,19,5,1
5168,318,69,19,5,1
4944,318,69,19,5,1
4720,318,69,19,5,1
4496,318,69,19,5,1
4272,318,69,19,5,1
4048,543,69,19,5,1
3824,318,69,19,5,1
3600,543,69,19,5,1
3376,318,69,19,5,1
3152,318,69,19,5,1
2928,318,69,19,5,1
2704,318,69,19,5,1
2480,318,69,19,5,1
2256,318,69,19,5,1
2032,318,69,19,5,1
1808,318,69,19,5,1
1584,318,69,19,5,1
1360,318,69,19,5,1
1136,318,69,19,5,1
912,318,69,19,5,1
464,318,69,19,5,1
16,318,69,19,5,1
37649,318,69,19,5,1
37425,318,69,19,5,1
37201,318,69,19,5,1
36977,318,69,19,5,1
23760,318,69,19,5,1
34065,318,69,19,5,1
26002,550,69,19,5,1
36305,318,69,19,5,1
36081,318,69,19,5,1
35857,318,69,19,5,1
22640,318,69,19,5,1
35409,543,69,19,5,1
19057,543,69,19,5,1
9873,503,69,19,5,1
34961,543,69,19,5,1
34737,543,69,19,5,1
34513,543,69,19,5,1
34289,543,69,19,5,1
33841,318,69,19,5,1
33617,318,69,19,5,1
33393,543,69,19,5,1
33169,503,69,19,5,1
32945,318,69,19,5,1
32721,543,69,19,5,1
32497,318,69,19,5,1
32273,550,69,19,5,1
32049,543,69,19,5,1
31825,318,69,19,5,1
31601,543,69,19,5,1
31377,503,69,19,5,1
31153,318,69,19,5,1
30929,543,69,19,5,1
30705,550,69,19,5,1
30481,503,69,19,5,1
30033,503,69,19,5,1
29809,318,69,19,5,1
29585,543,69,19,5,1
29361,543,69,19,5,1
29137,503,69,19,5,1
28913,318,69,19,5,1
28689,550,69,19,5,1
28465,503,69,19,5,1
28241,550,69,19,5,1
28017,503,69,19,5,1
27793,550,69,19,5,1
27569,318,69,19,5,1
27345,318,69,19,5,1
27121,550,69,19,5,1
26897,543,69,19,5,1
26673,318,69,19,5,1
26449,550,69,19,5,1
26225,503,69,19,5,1
26001,550,69,19,5,1
25777,550,69,19,5,1
25553,550,69,19,5,1
25329,543,69,19,5,1
25105,503,69,19,5,1
24881,550,69,19,5,1
24657,543,69,19,5,1
24433,550,69,19,5,1
24209,543,69,19,5,1
1138,318,69,19,5,1
18,318,69,19,5,1
19728,318,69,19,5,1
19280,543,69,19,5,1
8080,503,69,19,5,1
16144,550,69,19,5,1
8752,543,69,19,5,1
10096,543,69,19,5,1
9648,550,69,19,5,1
9872,318,69,19,5,1
10544,318,69,19,5,1
11216,550,69,19,5,1
11440,550,69,19,5,1
11664,503,69,19,5,1
12784,550,69,19,5,1
12560,543,69,19,5,1
13008,543,69,19,5,1
13680,543,69,19,5,1
13456,503,69,19,5,1
13232,503,69,19,5,1
23761,503,69,19,5,1
23537,503,69,19,5,1
23313,503,69,19,5,1
23089,503,69,19,5,1
22865,503,69,19,5,1
22641,318,69,19,5,1
22417,503,69,19,5,1
21969,503,69,19,5,1
21745,550,69,19,5,1
21521,503,69,19,5,1
21073,318,69,19,5,1
20849,550,69,19,5,1
20625,503,69,19,5,1
20401,503,69,19,5,1
20177,550,69,19,5,1
19953,503,69,19,5,1
19729,543,69,19,5,1
19505,318,69,19,5,1
19281,317,69,19,5,1
18833,503,69,19,5,1
18609,503,69,19,5,1
18385,318,69,19,5,1
18161,503,69,19,5,1
